,TRNUNT,TRNPI1,TRNPQ1,EquipmentID,min_odo,max_odo,mean_odo,min_mean_variance,max_mean_variance,variance_of_variances,odo_change,Count
116,1636,ULSD,18142.37,1636,492467.3,617898.6,554909.0262793108,62989.573720689164,62441.726279310824,-547.8474413783406,125431.29999999999,13562.0
117,1637,ULSD,14643.35,1637,428578.7,524449.6,488349.3288267993,36100.27117320069,59770.62882679928,23670.357653598592,95870.89999999997,15104.0
118,1638,ULSD,17267.620000000003,1638,462853.2,586438.6,524749.7005981129,61688.89940188709,61896.50059811288,207.60119622579077,123585.39999999997,13877.0
119,1639,ULSD,20028.06000000001,1639,454447.2,585307.2,521996.6302035075,63310.56979649246,67549.43020350748,4238.860407015018,130859.99999999994,19213.0
120,1640,ULSD,17055.110000000004,1640,415298.1,530483.1,474563.62588521116,55919.47411478881,59265.52588521119,3346.051770422375,115185.0,15279.0
121,1641,ULSD,14031.199999999999,1641,424852.7,517843.7,475236.0502675368,42607.64973246324,50383.35026753676,7775.700535073527,92991.0,13456.0
122,1642,ULSD,20187.519999999997,1642,460543.3,593749.7,528228.1164530178,65521.58354698215,67684.81645301782,2163.2329060356715,133206.39999999997,15213.0
123,1643,ULSD,11573.949999999999,1643,453959.5,530885.4,489085.1319106284,41800.26808937162,35125.631910628406,-6674.636178743211,76925.90000000002,12488.0
124,1644,ULSD,14560.909999999993,1644,379493.8,476765.4,431573.2782703895,45192.121729610546,52079.47827038949,6887.356540778943,97271.60000000003,14616.0
125,1645,ULSD,21205.659999999996,1645,16.4,603582.6,532306.1692675806,71276.43073241937,532289.7692675806,461013.3385351612,603566.2,19852.0
126,1646,ULSD,17895.630000000005,1646,486942.9,609116.4,547464.9309332587,61651.469066741294,60522.030933258706,-1129.4381334825885,122173.5,16555.0
127,1647,ULSD,18479.030000000002,1647,426739.6,553565.2,491894.4423348781,61670.75766512187,65154.84233487811,3484.0846697562374,126825.59999999998,14005.0
128,1648,ULSD,21142.08000000001,1648,428145.5,577815.7,504784.04068038,73031.65931961994,76638.54068038001,3606.881360760075,149670.19999999995,14051.0
129,1649,ULSD,19975.550000000003,1649,432847.7,564242.7,500473.46219493874,63769.23780506122,67625.76219493872,3856.524389877508,131394.99999999994,13358.0
130,1650,ULSD,13006.560000000001,1650,449808.6,536756.2,499604.7973470849,37151.40265291504,49796.19734708493,12644.79469416989,86947.59999999998,12703.0
131,1651,ULSD,19338.819999999996,1651,460964.2,596615.9,527765.5145033505,68850.38549664954,66801.31450335047,-2049.070993299072,135651.7,18051.0
132,1652,ULSD,19285.509999999987,1652,428031.6,557053.4,499263.9546612023,57789.4453387977,71232.35466120235,13442.909322404652,129021.80000000005,16101.0
133,1653,ULSD,19295.13,1653,391874.8,523114.4,458348.7826758064,64765.61732419365,66473.98267580639,1708.3653516127379,131239.60000000003,13865.0
134,1654,ULSD,17035.940000000002,1654,455711.4,572367.2,519083.32197176624,53283.87802823371,63371.92197176622,10088.04394353251,116655.79999999993,13531.0
135,1655,ULSD,20142.3,1655,60480.3,616848.4,547557.7574608654,69290.6425391346,487077.45746086544,417786.81492173084,556368.1,15139.0
136,1656,ULSD,19469.78999999999,1656,431725.8,554336.2,499575.24034204613,54760.95965795382,67849.44034204615,13088.480684092327,122610.39999999997,19528.0
137,1657,ULSD,19053.420000000006,1657,205743.6,561136.7,496252.3808931051,64884.319106894836,290508.7808931051,225624.46178621025,355393.1,17355.0
138,1658,ULSD,19706.179999999993,1658,407278.3,539956.6,476617.38015226193,63339.219847738044,69339.08015226194,5999.8603045239,132678.3,16944.0
139,1659,ULSD,20127.64000000001,1659,424315.2,566212.8,487884.792276778,78328.00772322202,63569.592276778014,-14758.415446444007,141897.60000000003,17169.0
140,1660,ULSD,13399.129999999997,1660,399052.0,500507.9,448653.903026665,51853.996973335044,49601.90302666498,-2252.0939466700656,101455.90000000002,11663.0
141,1661,ULSD,8313.039999999997,1661,444620.8,506645.0,484716.6684388243,21928.3315611757,40095.86843882431,18167.536877648614,62024.20000000001,5925.0
142,1662,ULSD,18989.36000000001,1662,434461.5,564283.6,505686.5752160143,58597.02478398569,71225.07521601429,12628.050432028598,129822.09999999998,14816.0
143,1663,ULSD,12357.400000000003,1663,434964.9,519415.8,480022.9398749286,39392.86012507137,45058.039874928596,5665.179749857227,84450.89999999997,10074.0
144,1664,ULSD,20475.770000000008,1664,373860.5,861003.9,439273.8904300467,421730.0095699533,65413.39043004671,-356316.6191399066,487143.4,16510.0
145,1665,ULSD,19515.07000000001,1665,366902.2,503309.3,441107.81447188475,62201.48552811524,74205.61447188474,12004.128943769494,136407.09999999998,16114.0
146,1666,ULSD,21888.61999999999,1666,40947.9,501809.2,425545.80207088095,76263.39792911906,384597.9020708809,308334.50414176186,460861.3,23082.0
147,1667,ULSD,22546.1,1667,407353.3,557522.1,475946.1198398822,81575.98016011779,68592.8198398822,-12983.160320235591,150168.8,15988.0
148,1668,ULSD,17272.6,1668,459356.0,577446.3,524228.7758407032,53217.52415929682,64872.77584070322,11655.2516814064,118090.30000000005,14690.0
149,1669,ULSD,22134.699999999997,1669,404516.6,556574.1,483623.4893208988,72950.6106791012,79106.8893208988,6156.278641797602,152057.5,18981.0
150,1670,ULSD,17669.18,1670,429837.9,551787.0,489515.85501570115,62271.14498429885,59677.955015701125,-2593.189968597726,121949.09999999998,14325.0
151,1671,ULSD,16479.10000000001,1671,402367.2,510287.0,454107.53246837493,56179.467531625065,51740.33246837492,-4439.135063250142,107919.79999999999,13758.0
152,1672,ULSD,19704.050000000007,1672,354397.2,468818.5,412981.17480336217,55837.32519663783,58583.97480336216,2746.649606724328,114421.29999999999,14875.0
153,1673,ULSD,16121.830000000002,1673,407109.4,512363.6,462756.4861688397,49607.1138311603,55647.086168839654,6039.972337679355,105254.19999999995,15494.0
154,1674,ULSD,18775.089999999997,1674,441435.6,560217.7,505701.6726308672,54516.02736913273,64266.072630867246,9750.045261734514,118782.09999999998,19332.0
